,SA_HOMER_ID,DEVICE_ID,D_DAY,LATITUDE_HOME,LONGITUDE_HOME,LATITUDE_WORK,LONGITUDE_WORK,CNT_LOG_HOME,CNT_LOG_NON_HOME,VOLUME,UNITS,Unnamed: 11,Distance
0,5102845,5392723,2017/11/10,38.9321,116.9161,,,1,0,3300.0,1.0,,
1,5102778,5393978,2017/11/10,39.5277,117.1871,39.5276,117.18700000000001,0,1,8297.0,3.0,,14.042870355014205
2,5c7952,5395457,2017/11/10,24.982,118.8629,24.9813,118.9015,0,1,8698.0,3.0,,3891.3448256508054
3,532467,5399273,2017/11/10,24.8202,113.5832,24.7835,113.5758,3,8,11237.0,3.0,,4148.650039699542
4,5m4682,5393767,2017/11/10,37.0264,111.9119,37.0037,111.8531,4,8,10686.0,3.0,,5798.830460995115
5,5g6785,5395613,2017/11/10,26.7262,117.471,26.7252,117.4722,2,7,7997.0,3.0,,162.99686455064068
6,511608,5401563,2017/11/10,24.784000000000002,112.3747,24.7827,112.3774,3,7,18573.0,5.0,,308.53356149449786
7,502870,5398543,2017/11/10,22.8527,113.0451,22.851999999999997,113.0443,4,8,9186.0,3.0,,113.04068278848426
8,5b4239,5393020,2017/11/10,33.2682,114.2594,33.2681,114.2596,3,9,10200.0,2.0,,21.665428961941444
9,5a5282,5395215,2017/11/10,38.3673,117.3434,38.3676,117.3434,4,2,8728.0,3.0,,33.35847799370506
10,5f9353,5401492,2017/11/10,33.4448,113.624,33.4479,113.6085,0,7,6020.0,4.0,,1478.844756696417
11,5c8964,5395205,2017/11/10,24.4963,118.0308,24.4983,118.0333,4,8,4300.0,1.0,,336.8198167594221
12,5r2393,5396282,2017/11/10,43.8723,125.3753,43.8293,125.3838,1,9,2000.0,2.0,,4829.71902561964
13,540727,5396021,2017/11/10,35.1838,119.0838,35.1678,118.889,2,9,10800.0,2.0,,17794.42140457952
14,5c3175,5395758,2017/11/10,37.8003,115.8866,37.7944,115.8815,0,2,1369.0,1.0,,794.4827095396577
15,5r8319,5398753,2017/11/10,32.8364,109.3602,32.8368,109.3603,3,10,21796.0,7.0,,45.44863302196889
16,5m7411,5401623,2017/11/10,34.5207,107.4008,,,2,0,12649.0,3.0,,
17,5e3704,5401409,2017/11/10,28.7161,115.7855,28.6992,115.804,3,4,9986.0,2.0,,2605.1280460978996
18,509834,5401164,2017/11/10,22.6181,113.1769,22.6182,113.1767,4,8,6699.0,2.0,,23.346616215914842
19,5a3810,5396714,2017/11/10,39.2383,118.2036,39.2376,118.2037,2,1,6000.0,2.0,,78.31146157606716
20,5101260,5394645,2017/11/10,39.1299,117.2727,39.1299,117.2729,3,8,11311.0,4.0,,17.251163009306957
21,5c1094,5392957,2017/11/10,40.9754,117.9324,40.973,117.9325,4,8,2999.0,1.0,,266.9998427812281
22,5k4134,5392376,2017/11/10,41.5797,120.449,41.5839,120.4251,1,1,5998.0,2.0,,2042.0000676015006
23,533588,5396826,2017/11/10,36.7038,118.6668,36.7036,118.6667,4,8,1299.0,1.0,,23.95930039141126
24,5e3697,5401411,2017/11/10,28.7398,115.8364,28.741,115.8466,3,8,6260.0,2.0,,1003.3765012802744
25,557426,5396504,2017/11/10,37.1927,122.052,37.1934,122.052,2,8,4098.0,1.0,,77.83644865056382
26,5c1286,5393114,2017/11/10,40.9304,117.3246,40.9304,117.3249,4,8,3200.0,1.0,,25.202529284959898
27,5c2440,5396397,2017/11/10,39.8246,116.9862,39.7572,117.0051,3,9,1950.0,1.0,,7666.53526843018
28,517456,5397989,2017/11/10,21.5376,111.2308,21.5378,111.2285,4,2,7999.0,3.0,,238.9282467840482
29,5013485,5398630,2017/11/10,23.2914,113.8247,23.2914,113.8245,3,3,12898.0,3.0,,20.426635714626006
30,5711008,5394429,2017/11/10,28.0086,110.1922,28.0085,110.1918,3,3,5798.0,2.0,,40.81257302673419
31,5m7441,5401624,2017/11/10,34.3553,107.1583,34.3657,107.1804,3,1,2299.0,1.0,,2335.065304535441
32,5s5174,5399369,2017/11/10,33.8704,109.9343,33.871,109.9342,3,1,18198.0,3.0,,67.35273573172225
33,574234,5396417,2017/11/10,36.2058,117.6576,36.2053,117.6576,4,8,7500.0,2.0,,55.597463322134445
34,512596,5394619,2017/11/10,24.0354,112.042,23.9132,112.1907,3,8,2999.0,1.0,,20319.741570128772
35,5f2980,5398996,2017/11/10,25.7992,114.5352,25.7937,114.5377,2,5,6398.0,3.0,,660.8047047803838
36,5041229,5399379,2017/11/10,22.8404,114.3506,22.8305,114.4064,3,8,13533.0,5.0,,5823.36928622256
37,5c7949,5395723,2017/11/10,24.7499,118.6339,24.7493,118.6301,3,3,9730.0,4.0,,389.48539448610154
38,5102366,5392667,2017/11/10,39.1385,117.1775,39.088,117.3167,2,5,15400.0,3.0,,13257.58890289225
39,5221344,5397677,2017/11/10,36.259,120.3618,36.2588,120.3618,4,3,10719.0,4.0,,22.238985328429383
40,5a3392,5397082,2017/11/10,39.6363,118.0462,39.6364,118.0468,3,6,18494.0,7.0,,52.56877737550762
41,5v3211,5394240,2017/11/10,44.0595,131.12,44.0597,131.1203,2,1,8198.0,3.0,,32.69904418456784
42,567212,5401386,2017/11/10,29.2575,113.8049,29.2571,113.8053,3,4,1000.0,1.0,,59.02581379488293
43,509568,5401246,2017/11/10,22.7139,113.315,22.7166,113.3126,0,2,5396.0,2.0,,388.2456317104689
44,502996,5398364,2017/11/10,22.9643,113.083,22.9645,113.0838,3,7,4000.0,1.0,,84.87142122168117
45,5c8808,5395312,2017/11/10,24.4975,118.1373,24.4971,118.13799999999999,3,9,6296.0,3.0,,83.63690989347545
46,5a7751,5396183,2017/11/10,39.1171,116.0262,39.1174,116.0268,3,5,11400.0,3.0,,61.58062862261125
47,5r8324,5398748,2017/11/10,32.766,109.376,32.701,109.4208,3,9,6400.0,2.0,,8354.57920159631
48,512510,5394340,2017/11/10,23.051,112.464,23.0512,112.4639,0,3,12699.0,3.0,,24.479777333866828
49,5a8294,5396161,2017/11/10,37.0631,115.0259,37.0643,115.0188,3,9,2199.0,1.0,,643.9573534776135
50,5k4084,5392515,2017/11/10,41.2327,119.3449,41.2244,119.295,2,1,8095.0,4.0,,4273.88645210868
51,5b1588,5394598,2017/11/10,34.1309,112.0814,34.1358,112.0803,1,1,10898.0,3.0,,554.1817649349191
52,565525,5398825,2017/11/10,22.7822,115.4257,22.7686,115.4368,4,8,27998.0,7.0,,1892.6197694495786
53,5b9186,5395235,2017/11/10,39.8393,114.5776,39.8393,114.5776,4,9,10800.0,2.0,,0.0
54,531346,5398089,2017/11/10,24.1003,115.2565,24.1,115.2568,4,7,5596.0,3.0,,45.1667421281
55,5021260,5398211,2017/11/10,22.944000000000003,112.9816,22.9478,112.9664,1,4,1999.0,1.0,,1612.762406631722
56,5m2382,5393569,2017/11/10,37.8189,112.581,37.8191,112.5804,2,3,3388.0,1.0,,57.20312090451756
57,5j7295,5392650,2017/11/10,40.9474,122.5276,40.9465,122.5297,3,2,13677.0,5.0,,202.78734429456642
58,5221219,5397656,2017/11/10,36.0942,120.35700000000001,36.0935,120.3499,2,4,2800.0,1.0,,642.6759123796465
59,558882,5401176,2017/11/10,23.3841,116.4997,23.3843,116.4995,3,9,14080.0,4.0,,30.186705234576873
60,5j3306,5394731,2017/11/10,21.612,108.3397,21.6123,108.3372,3,2,4698.0,2.0,,260.5883291062364
61,532552,5399176,2017/11/10,25.288,113.053,25.2882,113.0521,2,7,8888.0,1.0,,93.17815290575685
62,540507,5397023,2017/11/11,35.0655,118.3396,35.0657,118.3389,1,6,12236.0,5.0,,67.4786969674351
63,5b4763,5392992,2017/11/10,32.9872,114.0423,32.9872,114.042,2,8,10500.0,2.0,,27.98083183030779
64,5c2398,5396375,2017/11/10,39.3561,116.2501,39.3518,116.2495,4,8,2799.0,1.0,,480.9131852908629
65,5m4276,5393786,2017/11/10,37.0695,111.9739,37.1209,112.0362,3,9,12976.0,2.0,,7949.711443702818
66,5101114,5394503,2017/11/10,39.7284,117.4235,,,2,0,550.0,1.0,,
67,5c71350,5395459,2017/11/10,24.705,118.4182,24.7055,118.4192,2,8,2999.0,1.0,,115.30637946760602
68,5c7724,5395776,2017/11/10,24.7192,118.5204,24.7192,118.5201,3,7,2999.0,1.0,,30.301777203317208
69,5r4156,5401482,2017/11/10,23.8972,106.61,,,3,0,1499.0,1.0,,
70,5101158,5392697,2017/11/10,39.0931,117.2179,,,1,0,13218.0,3.0,,
71,5101622,5394426,2017/11/10,39.3747,117.0629,39.3747,117.0632,4,8,9098.0,3.0,,25.786563001983975
72,511554,5401258,2017/11/10,23.746,113.0081,23.7382,113.016,1,4,2999.0,1.0,,1182.7144020455903
73,535341,5397559,2017/11/10,37.4553,121.4297,37.4559,121.4304,4,8,4997.0,3.0,,90.9338870185957
74,532714,5399167,2017/11/10,24.8086,113.594,24.8086,113.5939,0,1,800.0,1.0,,10.093324825912
75,5r2398,5396381,2017/11/10,44.4872,126.1948,44.4862,126.1955,3,9,21797.0,5.0,,124.289348011705
76,5w4051,5393631,2017/11/10,42.2698,118.9433,,,1,0,6000.0,1.0,,
77,5a3240,5397126,2017/11/10,39.7135,118.4487,39.7136,118.4486,2,9,2800.0,1.0,,14.028830741598137
78,5a8383,5396186,2017/11/10,37.4927,114.6914,37.4856,114.6886,4,2,8899.0,3.0,,827.2334937420151
79,5871195,5394315,2017/11/10,30.7452,120.8513,30.744,120.8499,3,5,2400.0,1.0,,188.95868944048368
80,522798,5397542,2017/11/10,36.6702,120.5269,36.6701,120.5227,3,4,12499.0,2.0,,374.7545703426005
81,5h5965,5396927,2017/11/10,40.1359,116.1354,40.1358,116.1344,3,9,2450.0,1.0,,85.73468572388275
82,5b5811,5392662,2017/11/10,31.625,114.8699,31.6251,114.8695,4,4,19584.0,3.0,,39.47149739144863
83,5021203,5397997,2017/11/10,23.1276,113.0047,23.1279,113.0051,2,5,4800.0,1.0,,52.78135121812008
84,5b6685,5393140,2017/11/10,32.6888,112.0896,32.6889,112.0896,3,4,6000.0,2.0,,11.119492663861031
85,5h51507,5396933,2017/11/10,40.46,115.975,40.4604,115.9752,3,2,9198.0,2.0,,47.58780811407898
86,5q5179,5395806,2017/11/10,21.9657,108.619,,,1,0,12228.0,3.0,,
